Title,Portage Bridge bike counter - updated daily
2014-09-29,1946
2014-09-30,1917
2014-10-01,1970
2014-10-02,2066
2014-10-03,1879
2014-10-04,107
2014-10-05,437
2014-10-06,1536
2014-10-07,1099
2014-10-08,1058
2014-10-09,1326
2014-10-10,1262
2014-10-11,347
2014-10-12,558
2014-10-13,529
2014-10-14,1913
2014-10-15,921
2014-10-16,956
2014-10-17,1127
2014-10-18,222
2014-10-19,272
2014-10-20,1180
2014-10-21,849
2014-10-22,1219
2014-10-23,1416
2014-10-24,1433
2014-10-25,263
2014-10-26,275
2014-10-27,1342
2014-10-28,1007
2014-10-29,1328
2014-10-30,1320
2014-10-31,1005
2014-11-01,153
2014-11-02,262
2014-11-04,0
2014-11-05,0
2014-11-06,0
2014-11-07,0
2014-11-08,0
2014-11-09,0
2014-11-10,0
2014-11-11,0
2014-11-12,0
2014-11-13,0
2014-11-14,0
2014-11-15,0
2014-11-16,0
2014-11-17,0
2014-11-18,0
2014-11-19,0
2014-11-20,0
2014-11-21,0
2014-11-22,0
2014-11-23,0
2014-11-24,0
2014-11-25,0
2014-11-26,0
2014-11-27,0
2014-11-28,0
2014-11-29,0
2014-11-30,0
2014-12-01,0
2014-12-02,0
2014-12-03,0
2014-12-04,0
2014-12-05,0
2014-12-06,0
2014-12-07,0
2014-12-08,0
2014-12-09,0
2014-12-10,0
2014-12-11,0
2014-12-12,0
2014-12-13,0
2014-12-14,0
2014-12-15,0
2014-12-16,0
2014-12-17,0
2014-12-18,0
2014-12-19,0
2014-12-20,0
2014-12-21,0
2014-12-22,0
2014-12-23,0
2014-12-24,0
2014-12-25,0
2014-12-26,0
2014-12-27,0
2014-12-28,0
2014-12-29,0
2014-12-30,0
2014-12-31,0
2015-01-01,0
2015-01-02,0
2015-01-03,0
2015-01-04,0
2015-01-05,0
2015-01-06,0
2015-01-07,0
2015-01-08,0
2015-01-09,0
2015-01-10,0
2015-01-11,0
2015-01-12,0
2015-01-13,0
2015-01-14,0
2015-01-15,0
2015-01-16,0
2015-01-17,0
2015-01-18,0
2015-01-19,0
2015-01-20,0
2015-01-21,0
2015-01-22,0
2015-01-23,0
2015-01-24,0
2015-01-25,0
2015-01-26,0
2015-01-27,0
2015-01-28,0
2015-01-29,0
2015-01-30,0
2015-01-31,0
2015-02-01,0
2015-02-02,0
2015-02-03,0
2015-02-04,0
2015-02-05,0
2015-02-06,0
2015-02-07,0
2015-02-08,0
2015-02-09,0
2015-02-10,0
2015-02-11,0
2015-02-11,0
2015-02-12,0
2015-02-13,0
2015-02-14,0
2015-02-15,0
2015-02-16,0
2015-02-17,0
2015-02-18,0
2015-02-19,0
2015-02-20,0
2015-02-21,0
2015-02-22,0
2015-02-23,0
2015-02-24,0
2015-02-25,0
2015-02-26,0
2015-02-27,0
2015-02-28,0
2015-03-01,0
2015-03-02,0
2015-03-03,0
2015-03-04,0
2015-03-05,0
2015-03-06,0
2015-03-07,0
2015-03-08,0
2015-03-09,0
2015-03-10,0
2015-03-11,0
2015-03-12,0
2015-03-13,0
2015-03-14,0
2015-03-16,0
2015-03-17,0
2015-03-18,0
2015-03-19,0
2015-03-20,0
2015-03-21,0
2015-03-22,0
2015-03-23,0
2015-03-24,0
2015-03-25,0
2015-03-26,0
2015-03-27,0
2015-03-28,0
2015-03-29,0
2015-03-30,0
2015-03-31,0
2015-04-01,0
2015-04-01,190
2015-04-02,187
2015-04-03,168
2015-04-04,35
2015-04-05,51
2015-04-06,86
2015-04-07,423
2015-04-08,422
2015-04-09,345
2015-04-10,300
2015-04-11,161
2015-04-12,451
2015-04-13,1158
2015-04-14,1185
2015-04-15,1253
2015-04-16,1353
2015-04-17,1258
2015-04-18,455
2015-04-19,683
2015-04-20,568
2015-04-21,702
2015-04-22,844
2015-04-23,906
2015-04-24,833
2015-04-25,503
2015-04-26,516
2015-04-27,1323
2015-04-28,1941
2015-04-29,2089
2015-04-30,1994
2015-05-01,1867
2015-05-02,1071
2015-05-03,1267
2015-05-04,1979
2015-05-05,2601
2015-05-06,2776
2015-05-07,2741
2015-05-08,2476
2015-05-09,730
2015-05-10,403
2015-05-11,1013
2015-05-12,1683
2015-05-13,2465
2015-05-14,2724
2015-05-15,2199
2015-05-16,665
2015-05-17,1700
2015-05-18,1076
2015-05-19,2520
2015-05-20,2225
2015-05-21,2549
2015-05-22,1889
2015-05-23,874
2015-05-24,1370
2015-05-25,1392
2015-05-26,2615
2015-05-27,2507
2015-05-28,2227
2015-05-29,2655
2015-05-30,561
2015-05-31,767
2015-06-01,2370
2015-06-02,2204
2015-06-03,3052
2015-06-04,3123
2015-06-05,1769
2015-06-06,1087
2015-06-07,1190
2015-06-08,887
2015-06-09,1889
2015-06-10,2250
2015-06-11,2877
2015-06-12,1260
2015-06-13,1265
2015-06-14,1394
2015-06-15,2620
2015-06-16,1195
2015-06-17,3029
2015-06-18,2619
2015-06-19,2445
2015-06-20,1471
2015-06-21,536
2015-06-22,2799
2015-06-23,1832
2015-06-24,2110
2015-06-25,2532
2015-06-26,2300
2015-06-27,1091
2015-06-28,137
2015-06-29,1769
2015-06-30,2147
2015-07-01,945
2015-07-02,2370
2015-07-03,2313
2015-07-04,1160
2015-07-05,1323
2015-07-06,2525
2015-07-07,2216
2015-07-08,2832
2015-07-09,2600
2015-07-10,2481
2015-07-11,1062
2015-07-12,1100
2015-07-13,2428
2015-07-14,2335
2015-07-15,2713
2015-07-16,2836
2015-07-17,1796
2015-07-18,991
2015-07-19,870
2015-07-20,2640
2015-07-21,1952
2015-07-22,2766
2015-07-23,2582
2015-07-24,2313
2015-07-25,830
2015-07-26,1169
2015-07-27,2281
2015-07-28,2249
2015-07-29,2278
2015-07-30,1817
2015-07-31,1852
2015-08-01,947
2015-08-02,1375
2015-08-03,815
2015-08-04,2341
2015-08-05,2366
2015-08-06,2363
2015-08-07,2132
2015-08-08,1180
2015-08-09,1272
2015-08-10,2359
2015-08-11,944
2015-08-12,2257
2015-08-13,2365
2015-08-14,1347
2015-08-15,959
2015-08-16,960
2015-08-17,2110
2015-08-18,2183
2015-08-19,2327
2015-08-20,1574
2015-08-21,1991
2015-08-22,1135
2015-08-23,1306
2015-08-24,2027
2015-08-25,2251
2015-08-26,2135
2015-08-27,2066
2015-08-28,1970
2015-08-29,744
2015-08-30,1289
2015-08-31,2275
2015-09-01,2556
2015-09-02,2498
2015-09-03,2420
2015-09-04,2051
2015-09-05,992
2015-09-06,940
2015-09-07,915
2015-09-08,2074
2015-09-09,1906
2015-09-10,2516
2015-09-11,2272
2015-09-12,124
2015-09-13,140
2015-09-14,2083
2015-09-15,2736
2015-09-16,2607
2015-09-17,2538
2015-09-18,2275
2015-09-19,518
2015-09-20,936
2015-09-21,2204
2015-09-22,2415
2015-09-23,2357
2015-09-24,2304
2015-09-25,1913
2015-09-26,828
2015-09-27,999
2015-09-28,1693
2015-09-29,1224
2015-09-30,1774
2015-10-01,1896
2015-10-02,1545
2015-10-03,407
2015-10-04,468
2015-10-05,1711
2015-10-06,1893
2015-10-07,1923
2015-10-08,1743
2015-10-09,600
2015-10-10,462
2015-10-11,478
2015-10-12,1042
2015-10-13,951
2015-10-14,1575
2015-10-15,1086
2015-10-16,1188
2015-10-17,219
2015-10-18,221
2015-10-19,966
2015-10-20,1391
2015-10-21,1267
2015-10-22,1307
2015-10-23,1227
2015-10-24,255
2015-10-25,208
2015-10-26,1159
2015-10-27,1363
2015-10-28,481
2015-10-29,816
2015-10-30,998
2015-10-31,205
2015-11-01,128
2015-11-02,1203
2015-11-03,1466
2015-11-04,1464
2015-11-05,1434
2015-11-06,873
2015-11-07,266
2015-11-08,251
2015-11-09,1032
2015-11-10,1040
2015-11-11,344
2015-11-12,575
2015-11-13,650
2015-11-14,142
2015-11-15,187
2015-11-16,998
2015-11-17,1002
2015-11-18,1006
2015-11-19,616
2015-11-20,663
2015-11-21,164
2015-11-22,103
2015-11-23,722
2015-11-24,276
2015-11-25,423
2015-11-26,626
2015-11-27,501
2015-11-28,121
2015-11-29,123
2015-11-30,539
2015-12-01,327
2015-12-02,373
2015-12-03,439
2015-12-04,480
2015-12-05,230
2015-12-06,232
2015-12-07,615
2015-12-08,629
2015-12-09,696
2015-12-10,664
2015-12-11,564
2015-12-12,214
2015-12-13,88
2015-12-14,443
2015-12-15,483
2015-12-16,547
2015-12-17,351
2015-12-18,476
2015-12-19,39
2015-12-20,52
2015-12-21,250
2015-12-22,276
2015-12-23,201
2015-12-24,0
2015-12-25,0
2015-12-26,0
2015-12-27,0
2015-12-28,0
2015-12-29,0
2015-12-30,0
2015-12-31,0
2016-01-01,0
2016-01-02,0
2016-01-03,0
2016-01-04,0
2016-01-05,0
2016-01-06,0
2016-01-07,0
2016-01-08,0
2016-01-09,0
2016-01-10,0
2016-01-11,0
2016-01-12,0
2016-01-13,0
2016-01-14,0
2016-01-15,0
2016-01-16,0
2016-01-17,0
2016-01-18,0
2016-01-19,0
2016-01-20,0
2016-01-21,0
2016-01-22,0
2016-01-23,0
2016-01-25,0
2016-01-26,0
2016-01-27,0
2016-01-28,0
2016-01-29,0
2016-01-30,0
2016-01-31,0
2016-02-01,0
2016-02-02,0
2016-02-03,0
2016-02-04,0
2016-02-05,0
2016-02-06,0
2016-02-07,0
2016-02-08,0
2016-02-09,0
2016-02-10,0
2016-02-11,0
2016-02-12,0
2016-02-13,0
2016-02-14,0
2016-02-15,0
2016-02-16,0
2016-02-17,0
2016-02-18,0
2016-02-19,0
2016-02-20,0
2016-02-21,0
2016-02-22,0
2016-02-23,0
2016-02-24,0
2016-02-25,0
2016-02-26,0
2016-02-27,0
2016-02-28,0
2016-02-29,0
2016-03-01,0
2016-03-02,0
2016-03-03,0
2016-03-04,0
2016-03-05,0
2016-03-06,0
2016-03-07,0
2016-03-08,0
2016-03-09,0
2016-03-10,0
2016-03-11,0
2016-03-12,0
2016-03-13,0
2016-03-14,0
2016-03-15,0
2016-03-16,0
2016-03-17,0
2016-03-18,0
2016-03-19,0
2016-03-20,0
2016-03-21,0
2016-03-22,0
2016-03-23,0
2016-03-24,0
2016-03-25,0
2016-03-26,0
2016-03-27,0
2016-03-28,0
2016-03-29,0
2016-03-30,0
2016-03-30,166
2016-03-31,173
2016-04-01,449
2016-04-02,118
2016-04-03,43
2016-04-04,394
2016-04-05,471
2016-04-06,259
2016-04-07,26
2016-04-08,160
2016-04-09,48
2016-04-10,70
2016-04-11,107
2016-04-12,479
2016-04-13,684
2016-04-14,882
2016-04-15,1001
2016-04-16,595
2016-04-17,1057
2016-04-18,1061
2016-04-19,1387
2016-04-20,1620
2016-04-21,1625
2016-04-22,648
2016-04-23,489
2016-04-24,654
2016-04-25,1357
2016-04-26,1283
2016-04-27,1282
2016-04-28,1386
2016-04-29,1491
2016-04-30,1039
2016-05-01,201
2016-05-02,1405
2016-05-03,2082
2016-05-04,2054
2016-05-05,2340
2016-05-06,2240
2016-05-07,1079
2016-05-08,314
2016-05-09,1658
2016-05-10,2296
2016-05-11,2770
2016-05-12,2846
2016-05-13,1163
2016-05-14,490
2016-05-15,233
2016-05-16,1487
2016-05-17,2055
2016-05-18,2476
2016-05-19,2442
2016-05-20,2377
2016-05-21,1216
2016-05-22,1600
2016-05-23,1483
2016-05-24,2740
2016-05-25,2632
2016-05-26,2665
2016-05-27,2154
2016-05-28,1001
2016-05-29,1368
2016-05-30,2802
2016-05-31,2798
2016-06-01,2988
2016-06-02,1529
2016-06-03,2592
2016-06-04,1456
2016-06-05,134
2016-06-06,2224
2016-06-07,2537
2016-06-08,2337
2016-06-09,2311
2016-06-10,2548
2016-06-11,307
2016-06-12,273
2016-06-13,2329
2016-06-14,3063
2016-06-15,3206
2016-06-16,3094
2016-06-17,2673
2016-06-18,1183
2016-06-19,1023
2016-06-20,2324
2016-06-21,3145
2016-06-22,2833
2016-06-23,2842
2016-06-24,1997
2016-06-25,1121
2016-06-26,1244
2016-06-27,1731
2016-06-28,2730
2016-06-29,3489
2016-06-30,2676
2016-07-01,1548
2016-07-02,810
2016-07-03,1479
2016-07-04,2687
2016-07-05,2976
2016-07-06,2781
2016-07-07,2270
2016-07-08,2069
2016-07-09,150
2016-07-10,711
2016-07-11,2752
2016-07-12,2867
2016-07-13,2379
2016-07-14,1859
2016-07-15,2021
2016-07-16,1192
2016-07-17,1473
2016-07-18,2372
2016-07-19,2982
2016-07-20,2911
2016-07-21,2482
2016-07-22,1965
2016-07-23,910
2016-07-24,1340
2016-07-25,1130
2016-07-26,2719
2016-07-27,2621
2016-07-28,2350
2016-07-29,2271
2016-07-30,1064
2016-07-31,1247
2016-08-01,1628
2016-08-02,2504
2016-08-03,2618
2016-08-04,2343
2016-08-05,1878
2016-08-06,1111
2016-08-07,1356
2016-08-08,2448
2016-08-09,2739
2016-08-10,2570
2016-08-11,2240
2016-08-12,1091
2016-08-13,141
2016-08-14,1005
2016-08-15,2713
2016-08-16,1206
2016-08-17,2681
2016-08-18,2479
2016-08-19,2226
2016-08-20,1140
2016-08-21,233
2016-08-22,2457
2016-08-23,2842
2016-08-24,2670
2016-08-25,1876
2016-08-26,2288
2016-08-27,1121
2016-08-28,706
2016-08-29,2558
2016-08-30,2534
2016-08-31,2381
2016-09-01,2494
2016-09-02,2193
2016-09-03,958
2016-09-04,1390
2016-09-05,1252
2016-09-06,2616
2016-09-07,2523
2016-09-08,1489
2016-09-09,2414
2016-09-10,673
2016-09-11,622
2016-09-12,2464
2016-09-13,2796
2016-09-14,2133
2016-09-15,2488
2016-09-16,2280
2016-09-17,367
2016-09-18,886
2016-09-19,2550
2016-09-20,2665
2016-09-21,2651
2016-09-22,2120
2016-09-23,1483
2016-09-24,625
2016-09-25,758
2016-09-26,1955
2016-09-27,2205
2016-09-28,2214
2016-09-29,2120
2016-09-30,1921
2016-10-01,520
2016-10-02,135
2016-10-03,1998
2016-10-04,2408
2016-10-05,2386
2016-10-06,2264
2016-10-07,1949
2016-10-08,186
2016-10-09,423
2016-10-10,499
2016-10-11,1810
2016-10-12,2126
2016-10-13,1120
2016-10-14,1550
2016-10-15,635
2016-10-16,141
2016-10-17,1773
2016-10-18,1318
2016-10-19,2028
2016-10-20,1165
2016-10-21,627
2016-10-22,73
2016-10-23,257
2016-10-24,1450
2016-10-25,1355
2016-10-26,1281
2016-10-27,927
2016-10-28,469
2016-10-29,78
2016-10-30,216
2016-10-31,1172
2016-11-01,1105
2016-11-02,1452
2016-11-03,789
2016-11-04,994
2016-11-05,220
2016-11-06,319
2016-11-07,1291
2016-11-08,1376
2016-11-09,1078
2016-11-10,1060
2016-11-11,228
2016-11-12,150
2016-11-13,362
2016-11-14,1242
2016-11-15,1252
2016-11-16,903
2016-11-17,1200
2016-11-18,1085
2016-11-19,272
2016-11-20,32
2016-11-21,81
2016-11-22,31
2016-11-23,0
2016-11-24,0
2016-11-25,0
2016-11-26,0
2016-11-27,0
2016-11-28,0
2016-11-29,0
2016-11-30,0
2016-12-01,0
2016-12-02,0
2016-12-03,0
2016-12-04,0
2016-12-05,0
2016-12-06,0
2016-12-07,0
2016-12-08,0
2016-12-09,0
2016-12-10,0
2016-12-11,0
2016-12-12,0
2016-12-13,0
2016-12-14,0
2016-12-15,0
2016-12-16,0
2016-12-17,0
2016-12-18,0
2016-12-19,0
2016-12-20,0
2016-12-21,0
2016-12-22,0
2016-12-23,0
2016-12-25,0
2016-12-26,0
2016-12-27,0
2016-12-28,0
2016-12-29,0
2016-12-30,0
2016-12-31,0
2017-01-01,0
2017-01-02,0
2017-01-03,0
2017-01-04,0
2017-01-05,0
2017-01-06,0
2017-01-07,0
2017-01-08,0
2017-01-09,0
2017-01-10,0
2017-01-11,0
2017-01-12,0
2017-01-13,0
2017-01-14,0
2017-01-15,0
2017-01-16,0
2017-01-17,0
2017-01-18,0
2017-01-19,0
2017-01-20,0
2017-01-21,0
2017-01-22,0
2017-01-23,0
2017-01-24,0
2017-01-25,0
2017-01-26,0
2017-01-27,0
2017-01-28,0
2017-01-28,1
2017-01-29,1
2017-01-30,57
2017-01-31,57
2017-02-01,61
2017-02-02,72
2017-02-03,82
2017-02-04,11
2017-02-05,0
2017-02-06,18
2017-02-07,0
2017-02-08,0
2017-02-09,0
2017-02-10,0
2017-02-11,0
2017-02-12,0
2017-02-13,0
2017-02-14,0
2017-02-15,0
2017-02-16,0
2017-02-17,0
2017-02-18,0
2017-02-19,0
2017-02-20,0
2017-02-21,0
2017-02-22,0
2017-02-23,0
2017-02-24,0
2017-02-25,0
2017-02-26,0
2017-02-27,0
2017-02-28,0
2017-03-01,0
2017-03-02,0
2017-03-03,0
2017-03-04,0
2017-03-05,0
2017-03-06,0
2017-03-07,0
2017-03-08,0
2017-03-09,0
2017-03-11,0
2017-03-12,0
2017-03-13,0
2017-03-14,0
2017-03-15,0
2017-03-16,0
2017-03-17,0
2017-03-18,0
2017-03-19,0
2017-03-20,0
2017-03-21,0
2017-03-22,0
2017-03-23,0
2017-03-24,0
2017-03-25,0
2017-03-26,0
2017-03-27,0
2017-03-28,0
2017-03-29,0
2017-03-30,0
2017-03-31,0
2017-03-31,62
2017-04-01,23
2017-04-02,80
2017-04-03,500
2017-04-04,198
2017-04-05,460
2017-04-06,233
2017-04-07,299
2017-04-08,126
2017-04-09,249
2017-04-10,957
2017-04-11,642
2017-04-12,835
2017-04-13,1025
2017-04-14,625
2017-04-15,302
2017-04-16,113
2017-04-17,294
2017-04-18,1126
2017-04-19,738
2017-04-20,1089
2017-04-21,523
2017-04-22,276
2017-04-23,819
2017-04-24,1467
2017-04-25,1240
2017-04-26,1447
2017-04-27,1925
2017-04-28,1738
2017-04-29,732
2017-04-30,120
2017-05-01,428
2017-05-02,1365
2017-05-03,1687
2017-05-04,1816
2017-05-05,423
2017-05-06,102
2017-05-07,227
2017-05-08,473
2017-05-09,692
2017-05-10,1893
2017-05-11,1890
2017-05-12,1834
2017-05-13,210
2017-05-14,248
2017-05-15,2087
2017-05-16,2419
2017-05-17,2622
2017-05-18,2151
2017-05-19,1828
2017-05-20,1086
2017-05-21,486
2017-05-22,281
2017-05-23,2512
2017-05-24,2671
2017-05-25,1651
2017-05-26,1238
2017-05-27,1287
2017-05-28,1339
2017-05-29,876
2017-05-30,1695
2017-05-31,2089
2017-06-01,2516
2017-06-02,1734
2017-06-03,1016
2017-06-04,633
2017-06-05,1585
2017-06-06,1086
2017-06-07,3020
2017-06-08,3012
2017-06-09,2518
2017-06-10,1348
2017-06-11,1187
2017-06-12,2413
2017-06-13,3191
2017-06-14,3070
2017-06-15,2793
2017-06-16,1503
2017-06-17,765
2017-06-18,798
2017-06-19,2860
2017-06-20,1950
2017-06-21,2784
2017-06-22,2929
2017-06-23,973
2017-06-24,1202
2017-06-25,825
2017-06-26,1967
2017-06-27,1982
2017-06-28,2706
2017-06-29,1448
2017-06-30,1549
2017-07-01,1521
2017-07-02,2018
2017-07-03,1787
2017-07-04,2982
2017-07-05,3116
2017-07-06,2856
2017-07-07,1606
2017-07-08,1114
2017-07-09,1324
2017-07-10,1989
2017-07-11,2599
2017-07-12,2740
2017-07-13,2417
2017-07-14,1842
2017-07-15,1398
2017-07-16,1298
2017-07-17,2206
2017-07-18,3055
2017-07-19,2619
2017-07-20,2625
2017-07-21,2465
2017-07-22,1228
2017-07-23,1045
2017-07-24,411
2017-07-25,2425
2017-07-26,2630
2017-07-27,2520
2017-07-28,2705
2017-07-29,1732
2017-07-30,2074
2017-07-31,2375
2017-08-01,2768
2017-08-02,2367
2017-08-03,2166
2017-08-04,1144
2017-08-05,885
2017-08-06,1514
2017-08-07,1411
2017-08-08,2559
2017-08-09,2701
2017-08-10,2232
2017-08-11,1958
2017-08-12,629
2017-08-13,1630
2017-08-14,2355
2017-08-15,2261
2017-08-16,2904
2017-08-17,2375
2017-08-18,819
2017-08-19,828
2017-08-20,1564
2017-08-21,2356
2017-08-22,1275
2017-08-23,2492
2017-08-24,2545
2017-08-25,2154
2017-08-26,1013
2017-08-27,1365
2017-08-28,2470
2017-08-29,2511
2017-08-30,2566
2017-08-31,1983
2017-09-01,1757
2017-09-02,1110
2017-09-03,132
2017-09-04,288
2017-09-05,2260
2017-09-06,2262
2017-09-07,1578
2017-09-08,1690
2017-09-09,841
2017-09-10,1146
2017-09-11,2403
2017-09-12,2664
2017-09-13,2648
2017-09-14,2535
2017-09-15,2285
2017-09-16,941
2017-09-17,1037
2017-09-18,2418
2017-09-19,2486
2017-09-20,2660
2017-09-21,2618
2017-09-22,2340
2017-09-23,804
2017-09-24,845
2017-09-25,2295
2017-09-26,2404
2017-09-27,2146
2017-09-28,2240
2017-09-29,1770
2017-09-30,564
2017-10-01,864
2017-10-02,2234
2017-10-03,2363
2017-10-04,1527
2017-10-05,2150
2017-10-06,1663
2017-10-07,227
2017-10-08,449
2017-10-09,168
2017-10-10,2149
2017-10-11,1945
2017-10-12,1898
2017-10-13,1647
2017-10-14,314
2017-10-15,111
2017-10-16,1548
2017-10-17,1647
2017-10-18,2069
2017-10-19,1967
2017-10-20,1775
2017-10-21,729
2017-10-22,813
2017-10-23,2066
2017-10-24,888
2017-10-25,1821
2017-10-26,1773
2017-10-27,1437
2017-10-28,656
2017-10-29,36
2017-10-30,352
2017-10-31,1168
2017-11-01,1028
2017-11-02,552
2017-11-03,1006
2017-11-04,242
2017-11-05,54
2017-11-06,1063
2017-11-07,1133
2017-11-08,1138
2017-11-09,948
2017-11-10,393
2017-11-11,104
2017-11-12,150
2017-11-13,213
2017-11-14,916
2017-11-15,980
2017-11-16,668
2017-11-17,677
2017-11-18,62
2017-11-19,14
2017-11-20,108
2017-11-21,263
2017-11-22,424
2017-11-23,472
2017-11-24,489
2017-11-25,69
2017-11-26,57
2017-11-27,113
2017-11-28,177
2017-11-29,455
2017-11-30,409
2017-12-01,430
2017-12-02,110
2017-12-03,111
2017-12-04,589
2017-12-05,394
2017-12-06,521
2017-12-07,460
2017-12-09,0
2017-12-10,0
2017-12-11,0
2017-12-12,0
2017-12-13,0
2017-12-14,0
2017-12-15,0
2017-12-16,0
2017-12-17,0
2017-12-18,0
2017-12-19,0
2017-12-20,0
2017-12-21,0
2017-12-22,0
2017-12-23,0
2017-12-24,0
2017-12-25,0
2017-12-26,0
2017-12-27,0
2017-12-28,0
2017-12-29,0
2017-12-30,0
2017-12-31,0
2018-01-01,0
2018-01-02,0
2018-01-03,0
2018-01-04,0
2018-01-05,0
2018-01-06,0
2018-01-07,0
2018-01-08,0
2018-01-09,0
2018-01-10,0
2018-01-11,0
2018-01-12,0
2018-01-13,0
2018-01-14,0
2018-01-15,0
2018-01-16,0
2018-01-17,0
2018-01-18,0
2018-01-19,0
